diam	pitch	short_name	stats_detail_file	full_name	side_pic	front_pic
9.0	3.8	apcsf	apcsf_9x3.8_static_2553rd.txt	apcsf_9x3.8		
9.0	4.7	apcsf	apcsf_9x4.7_static_kt1032.txt	apcsf_9x4.7	apcsf_9x4.7-side.png	apcsf_9x4.7-front.png
9.0	6.0	apcsf	apcsf_9x6_static_kt0979.txt	apcsf_9x6	apcsf_9x6-side.png	apcsf_9x6-front.png
9.0	7.5	apcsf	apcsf_9x7.5_static_2567rd.txt	apcsf_9x7.5		
10.0	10.0	apcsp	apcsp_10x10_static_2665rd.txt	apcsp_10x10		
10.0	3.0	apcsp	apcsp_10x3_static_2643rd.txt	apcsp_10x3		
10.0	4.0	apcsp	apcsp_10x4_static_2644rd.txt	apcsp_10x4		
10.0	5.0	apcsp	apcsp_10x5_static_2651rd.txt	apcsp_10x5		
10.0	6.0	apcsp	apcsp_10x6_static_pg0802.txt	apcsp_10x6	apcsp_10x6-side.png	apcsp_10x6-front.png
10.0	7.0	apcsp	apcsp_10x7_static_2654rd.txt	apcsp_10x7		
10.0	8.0	apcsp	apcsp_10x8_static_pg0794.txt	apcsp_10x8	apcsp_10x8-side.png	apcsp_10x8-front.png
10.0	9.0	apcsp	apcsp_10x9_static_2664rd.txt	apcsp_10x9		
11.0	3.0	apcsp	apcsp_11x3_static_3015ja.txt	apcsp_11x3		
11.0	4.0	apcsp	apcsp_11x4_static_kt0503.txt	apcsp_11x4	apcsp_11x4-side.png	apcsp_11x4-front.png
11.0	5.0	apcsp	apcsp_11x5_static_rd0496.txt	apcsp_11x5	apcsp_11x5-side.png	apcsp_11x5-front.png
11.0	6.0	apcsp	apcsp_11x6_static_rd0488.txt	apcsp_11x6	apcsp_11x6-side.png	apcsp_11x6-front.png
11.0	7.0	apcsp	apcsp_11x7_static_kt0473.txt	apcsp_11x7	apcsp_11x7-side.png	apcsp_11x7-front.png
11.0	8.0	apcsp	apcsp_11x8_static_pg0616.txt	apcsp_11x8	apcsp_11x8-side.png	apcsp_11x8-front.png
11.0	9.0	apcsp	apcsp_11x9_static_pg0624.txt	apcsp_11x9	apcsp_11x9-side.png	apcsp_11x9-front.png
14.0	13.0	apcsp	apcsp_14x13_static_jb1048.txt	apcsp_14x13	apcsp_14x13-side.png	apcsp_14x13-front.png
4.2	2.0	apcsp	apcsp_4.2x2_static_0597rd.txt	apcsp_4.2x2	apcsp_4.2x2-side.png	apcsp_4.2x2-front.png
7.0	6.0	apcsp	apcsp_7x6_static_2930cm.txt	apcsp_7x6		
7.0	9.0	apcsp	apcsp_7x9_static_2897cm.txt	apcsp_7x9		
8.0	10.0	apcsp	apcsp_8x10_static_2731rd.txt	apcsp_8x10		
8.0	4.0	apcsp	apcsp_8x4_static_2681rd.txt	apcsp_8x4		
8.0	5.0	apcsp	apcsp_8x5_static_2687rd.txt	apcsp_8x5		
8.0	6.0	apcsp	apcsp_8x6_static_2696rd.txt	apcsp_8x6		
8.0	7.0	apcsp	apcsp_8x7_static_2704rd.txt	apcsp_8x7		
8.0	8.0	apcsp	apcsp_8x8_static_2712rd.txt	apcsp_8x8		
8.0	9.0	apcsp	apcsp_8x9_static_2720rd.txt	apcsp_8x9		
9.0	10.0	apcsp	apcsp_9x10_static_2513rd.txt	apcsp_9x10		
9.0	6.0	apcsp	apcsp_9x6_static_0758ga.txt	apcsp_9x6	apcsp_9x6-side.png	apcsp_9x6-front.png
9.0	6.0	apcsp	apcsp_9x6_static_2532rd.txt	apcsp_9x6	apcsp_9x6-side.png	apcsp_9x6-front.png
9.0	7.0	apcsp	apcsp_9x7_static_kt1009.txt	apcsp_9x7	apcsp_9x7-side.png	apcsp_9x7-front.png
9.0	8.0	apcsp	apcsp_9x8_static_2530rd.txt	apcsp_9x8		
9.0	9.0	apcsp	apcsp_9x9_static_2504rd.txt	apcsp_9x9		
5.0	1.58	da4002	da4002_5x1.58_static_1137ga.txt	da4002_5x1.58		
5.0	2.65	da4002	da4002_5x2.65_static_1126rd.txt	da4002_5x2.65		
